question,topic
Best camera,Technology and Internet
The Hunch developer is from one sided For girls,Technology and Internet
Anyone is interested for learning programming together,Technology and Internet
What is the best time to ask questions on this app,Random
What is the best WiFi name you have seen in your entire life,Technology and Internet
Choose a superpower First to reply chooses side effect part two,Random
Ktwo hundred and ninety-twoij,Random
Mac Or windows,Technology and Internet
Mere Phone me to two hundred and fourteenGB ka hai Hunch Whats your size,Random
saw everyone doin this so why not me,Random
Choose one,Random
Self control test,Random
Have you ever been a victim of cybercrime,Law and Order
Do u think social media has become useless sab dikhava krte hai ab,Random
Can you Google Google,Technology and Internet
Dark mode or light mode,Technology and Internet
Is it possible that we can get free internet using some VPN,Technology and Internet
I am thermo obsessed,Random
Everyone name one thing you hate about this app,Random
What will be the price of next iPhone,Technology and Internet
Comment your current battery percentage,Random
Anyone wants to stay connected might delete hunch,Technology and Internet
When are you more active on Hunch,technology and Internet
dont u think hunch k users decrease ho rhe he,Random
If scientists invented a teleportation system but,Random
If you have to choose what will you choose,Random
nan,Random
What is the formula to make a viral poll,Random
Dedicated process resulting in dopamine output,Health and Wellness
Did you see that tweet Mind blown,Random
Hi everyone,Random
When will our AI twin learn,Technology and Internet
Kya aap discord pe ho,Random
Chahe koi bhi platform ho pr Negative Kids sab jagah hote hai Agree,Random
Splendor is also a chapri bike,technology and Internet
nan,Random
Which one,Random
Which phone do you use,technology and Internet
Why,Random
Favourite waffle,Food and Drinks
Aloo Paratha with Ketchup or Curd or Dhaniya Chutney or Chole,Food and Drinks
Choose one,Random
What do you like the most among these,Random
Name a food that you hate and everyone loves,Food and Drinks
A la bin a la ban a la bin bon ban,Music
Lets cook,Random
Do you know There is a coffee brand names bruh,Food and Drinks
nan,Random
Aadmi kitni bottle pikar Down hota hai,Random
Soup ko khate hai ya pite hai,Random
Which brand do u like the most,Fashion and Makeup
Mujhe momos pukare aaja,Food and Drinks
Chai vs Coffee Your goto morning drink,Food and Drinks
If youve lost your kitkat,Food and Drinks
What would you give up Pizza Panipuri or Chocolate,Food and Drinks
Which brands Dark Chocolate do you prefer,Food and Drinks
Which would you rather be a prodigy at cooking or drawing,Random
What you prefer,Random
What do you think is the worst thing to have on pizza,Food and Drinks
best Doritos flavor,Food and Drinks
Childhood thinking Rodding sweet shop and eat all sweet by Self,Food and Drinks
Rasgulla belongs to which state,Random
Which Indian cuisine you love,Food and Drinks
Mosam bahot mast hai koi tea or coffee peena pasand krega mere sath ncr,Food and Drinks
What Food Place Would You Eat at,Food and Drinks
This or that,Random
Ladkiya konsa flavouvr pasand karti haicondom,Dating and Relationships
Do you drink coffee,Food and Drinks
Goto late night snack,Food and Drinks
your favorite Street food,Food and Drinks
Uh Guys agr coffee khtm ho gyi hto Chai se kaam chl jayega na,Food and Drinks
Whats the best way to eat spaghetti,Food and Drinks
Dinner me kya khaya,Food and Drinks
What is your favorite street food,Food and Drinks
Take me to cafe,Food and Drinks
Which one do you choose,Random
Fav soft drink from cococola,Food and Drinks
YOUR MORNINGS START WITH,Random
Kolkata ka famous food,Food and Drinks
Have you eaten anything spicy since morning,Food and Drinks
cofee piyoge,Food and Drinks
Iykyk,Music
Lunch kar liya kya,Random
Indian me sabse zyada kya khaya jata he,Food and Drinks
One thing you cant live without,Random
Girls khana pakana seekho hunch sai kaam nae chalai ga,Random
How about a beer,Food and Drinks
For egg lovers What do you prefer,Food and Drinks
Logs me dieing from bhookh So please batao me what should I eat,Random
I regret eating everything that I ate while being in that walk,Random
Choose ur fev,Random
This or that,Random
whats your favourite ice cream flavour,Food and Drinks
Hajmola kise pasand hai,Random
munch was better than hunch Prove me wrong,Random
Delhi mein best cafe konsa hai affordable bhi hona chahiye student hun,Food and Drinks
Murgi pehle aayi ya anda,Random
Strawberries or me,Random
U know sushi,Food and Drinks
What do you love the most,Random
Ek cup tea Tumne Hume di Humne pii He he he,Food and Drinks
What you watch while eating food,Random
Modak vs Pithe Which one wins the taste test,Food and Drinks
Chandu ke chacha ne chandu ki chahchi ko Chandi chok pe konsi chutney,Movies and TV
Ye Bahut din ke baad Daal raha hu,Random
Would you rather,Random
Ho jaye kuch meetha,Random
Which one is better honestly,Random
one plate of momo a day keeps Dr awayhttpsngllink_puffcornn__,Food and Drinks
Favourite,Random
IcecreamWinter My favourite tell your favourite combos,Random
Whats your favourite khana,Random
Why did the tomato turn red,Random
Which one will you select if you want one for next twenty-four hours,Random
Konsa street food is best,Food and Drinks
Sabhi Log Apni Favourite Mithai Ka Naam Batao,Food and Drinks
Any one for,Random
Best Street food for ya,Food and Drinks
Bread ke sath kya khate ho,Food and Drinks
What excites you more,Random
What is the Rate of pink If you know u know,Random
Kya pilana achha lagta hai,Random
Delhi walo pick your brand,Random
Kitkat is best,Food and Drinks
Do u like,Random
Aao pizza banaye Curst choose karo,Food and Drinks
Yeh Somvar mangalvar maanke khaane peene waalo ka kya scene hota hai,Random
If u had six oranges u take two of them how many oranges u have,Random
Iska food ka kya naam hai,Random
Whats Your favourite chocolate,Food and Drinks
A day out with junk foods or a movie night with popcorn,Food and Drinks
Choose one,Random
Which is your favourite,Random
Do you crave for something salty or sweet the most,Random
What Color is a mango wrong answers only,Random
Your favourite lays style,Food and Drinks
Periods mai mujhe momosMaggipanipuri spicy food ki bhut craving hoti ha,Food and Drinks
Biriyani aur Pulav me fark pta h tumko to maanu k asli foodie ho tum,Food and Drinks
Which is your favourite chocolate brand,Food and Drinks
Write your questions thoughts which you think is neglected by our ppl,Random
Ispe hunch nhi kiya to fail ho jaoge,Random
How do you interpret time part two,Movies and TV
You believe in magic,Random
Its time to forget what you feel and remember what you deserve,Random
Hum dreams sochte kese hai or aate kese hai,Random
"Aaj ki date kis kis ne notice ki twenty-two thousand, one hundred and twenty-four रम",Philosophy and Religion
Do you believe in Conspiracy Theories,Random
Will Israel be benifitted from US President Joe Bidens visit,Random
What would you do if you could live forever,Random
If you had to switch from ur religion which religion would u choose,Philosophy and Religion
Pakistan k baare me aapke ky vichhar hai,Random
Kya ghar me aapki ijjat hai,Random
Is it good to sex before marriage,Dating and Relationships
Worlds fair,Random
The question,Random
What percentage of girls had faced molestation in our society,Law and Order
Life Is Not What We Think Life Is What We Face Good Night,Random
AFTER ARREST OF KAJRIWALDO YOU THINK DICTATORSHIP IS COMING,Random
Jee or upsc,Random
A person who thinks all the day has nothing to think but thoughts,Random
So I recently pulled out some main reasons of Poverty and Hunch did this,Random
How do you like to use an eraser,Random
What will you do if u know tomorrow will be ur last day,Random
Which party won two thousand and twenty-four election in India,Random
अब कई मसलम नह आयग इसक वरध करन य हदओ क hat य करन क,Philosophy and Religion
Who are the true patriots on your timeline,Random
What do you think,Random
Why do I cry when I try to put my point and justify it,Random
Which one makes the better decision,Random
Nhi hoti mehnat ab Ya toh maut aa jayeya five crore rupey,Random
What will be the meaning for life,Random
Is there any topic which is politically neutral in todays world,Random
And I wondered if a memory is something we have or something weve lost,Random
Peace or only Money which one you prefer for your life,Random
What Is Afterlife,Random
The most expensive thing in the world,Random
Your thoughts on opening of RAM mandir,Philosophy and Religion
Is it rude to assume someones gender,Random
Kya purane khayalat ke logo bewakoof hai aaj ke new jeneration ke liye,Random
We need an educated literate secular liberal ruler for diverse India,Random
do you agree LIFE AFTER DEATH,Random
Thought,Random
The life,Music
Dil may dard hone pr kiske pas Jana chahiye,Random
Aap isiliye ladai nhi karte ho kyu ki saamne wala Banda marsakta hai,Random
Who will win,Random
Can someone live forever,Random
Is your time truly wasted if you enjoy wasting it,Random
should i die,Random
What are the troubleissue that u face in your life and u blame it to god,Random
Whats your POV on ISRAEL Or HAMAS war,Random
If you punch yourself in the face and it hurts are you weak or strong,Random
Jayada hassana sahi hai ya Rona,Random
Happy Maha Shivratri guys,Philosophy and Religion
Ram Mandir Whats your favourite ram BhajanSong from following,Philosophy and Religion
How is life going,Random
What do you think about the Feminism,Random
Do you believe in astrology,Philosophy and Religion
Is it okay to be a bich to someone takes ng advantage of autism,health and Wellness
Acha soch soch ke bhi tum hi bure baan jaate ho,Random
Should intercaste marriages be normalized,Dating and Relationships
Ek din ke liye PMPRIME MINISTER ban jao to kya karoge,Random
Rajputo me kya khas baat h,Random
How you want to die,Random
Is it a sin to rewrite the Bible,Philosophy and Religion
mind reading is a power or curse,Random
Mahashivratri day special,Philosophy and Religion
Yeah,Music
Is gender equality followed in India,Random
Agar kabhi Bhagwan aapke saamne aaye to bhagwaan se kya mangoge,Philosophy and Religion
Ahhmmm ahhhmm,Random
Whats the one thing you wish you could change about the world,Random
Are you evil or pretend to be,Random
Do you believe in zodiac signs,Philosophy and Religion
READ THIS,Random
Fuhrer is back,Random
The most effective way to live life is,Random
So whos winning the debate,Random
MY ONE FRIEND OFFER ME TO BE MUSLIM READ DESCRIPTION,Philosophy and Religion
ॐ नम भगवत हनमत नम सबस शकतशल मतर भत परत भगन क,Philosophy and Religion
"Maybe oxygen is slowly killing us it just takes seventy-five thousand, one hundredyrs to fully work",Random
Perfection is the Enemy of Progress,Random
Always think of murder Before suicide,Random
Zindagi ke jine ke rules bato,Random
Kaun kaun Shree Krishna Janmashtami me Vrat rakh rahe hai,Philosophy and Religion
Ram ram sabko,Philosophy and Religion
Believe in astrology,Philosophy and Religion
Is there a any incident which was supernatural for you or something sus,Random
Chose one,Gaming
Is siraj problem for India,Sports
Do you believe in supernatural powers Have you ever experienced any,Random
WHICH IS BEST,Random
Why is society like this,Random
Select your religion,Philosophy and Religion
Koi dost budhiya ke liye bhul jaaye to kya Kare,Random
Eliminate one thing from the world,Random
Are Indians interested in Lucid dreams concept,Random
Who is the reall freedom fighter,Random
If u could time travel,Random
What are your views abt the rise in student suicides,Random
Whats your blood group,Health and Wellness
What do u prefer,Random
Workout at,health and Wellness
How to stop morning sinus nasal irritations,Health and Wellness
How do people overcome their insecuritiesI try alot but somewhr it hits,health and Wellness
your favourite exercise,health and Wellness
Why people take ciggerate,Health and Wellness
Whats your blood type,Health and Wellness
Abhi abhi utha hu Gym jau ya phir rhne du,Health and Wellness
Which one MUSCLE GIRL,Health and Wellness
If u uses antidepressants comments experience,Health and Wellness
blackout honeke side effects got drunk,health and Wellness
Best way to make a jawline,Health and Wellness
how often do you guys smoke wëëd,Random
Be honest how many PIKE PUSHUPS can you do without rest,health and Wellness
have you used Viagra to improve your performance,Health and Wellness
Chocolate kha lo fraaanzzz,Food and Drinks
SOCIAL ANXIETY KAISE DUR KARE,health and Wellness
Dengerous combination of madicine which can easily able in home,Health and Wellness
Lets see how messed up people are,Random
Are you an addict,Random
Kya aap kr rhe ho seventy-fivehard challenge agar haa to kis chij ko chorne k liye,Health and Wellness
Weed is good for mental health,Health and Wellness
Did you bath today,Random
Would you try out any bad habit of the following,Random
is smoking injurious to health,health and Wellness
Subah subah running krke aaya the cut is gonna be insane,health and Wellness
Did people start treating you differently after you started to hit gym,health and Wellness
Why is it called Beauty sleep When you wake up looking like a hot mess,Health and Wellness
Ab mere daanto me dard ho Rahi h,Health and Wellness
Yaha par aake kuch gain hua hai,Random
How to stop overthinking,Health and Wellness
Is it okay to masturbate almost daily For both men and womenhealth wise,health and Wellness
Which would you rather fix first,Random
Ever experience Sleeping paralysis,Health and Wellness
Do you snore,health and Wellness
Do you sniff your own underarms Do you like the smell of your pits,Health and Wellness
Bimari meh muth marna kese hota hai,health and Wellness
Subhe subhe hi periods aa gye,Health and Wellness
Free workshopzero charge for positive thinking and to cure overthinking,Health and Wellness
Thinking Of Starting A Hunch Therapy Session To Help and Understand Ppl,Health and Wellness
three din s fever ho rha hai office mai shuti ni deta n koi Kam Hota ni,Health and Wellness
Have u ever suffered from,health and Wellness
kya apke toothpaste me namak hai,Random
Does pseudoscience really kill patients,Health and Wellness
Dont forget to eat well and exercise,Health and Wellness
Who thinks being obese is not a good thing,Health and Wellness
Do you keep sanitizer,Health and Wellness
I just wanna be alonefor some time,Health and Wellness
Is it okay to go through castration just to stop the urge to masturbate,Health and Wellness
What does men like most,Random
Whats your blood group,Health and Wellness
Have u ever felt like dyingwhy,Random
What is the healthy frequency for masturbation,Health and Wellness
What three things drain your energy and what three gives you energy,Health and Wellness
Jee clear na hone par kay kare,Random
what your blood group,Health and Wellness
Who has natural physic,Health and Wellness
I am here to help people fighting theur bad habits or addiction,Health and Wellness
Are you a gym lover,Health and Wellness
seventy-five hard se kuch farak padta hai shareer per,Health and Wellness
My friends keep getting cuts should I bring plasters,Health and Wellness
Watched manjummel boys and i have height fear and now scared Anyone help,Movies and TV
Your favourite muscle to train more,Health and Wellness
How to deal with loneliness,Health and Wellness
What type of thoughts you are thinking the most,Health and Wellness
Something you wish you could spend more time on,Random
How many hours do you guys sleep,Random
Have you ever donated blood,health and Wellness
Whos high wit me,Random
Kya apke toothpaste me namak hai,Random
smoking Lmkic,Health and Wellness
How many Squats without weights you can do maximum without resting,Health and Wellness
New year new protine new bcaa New pre workout,Health and Wellness
Does getting a womb tattoo hurt I want to get a succubus tattoo lol,fashion and Makeup
Kya tumko kabz ha,Health and Wellness
How do u guys take care of your mental health,Health and Wellness
MENTION OF SELF HARM People who struggle can you possibly help me,Health and Wellness
Go to sleep Final warning Bed is ready,Health and Wellness
Had u ever wish for self harm,Health and Wellness
What are your interests on Hunch Comment below,Random
Which ASMR video is your addiction,Random
nan,Random
Felling heavenly good lmkic your thoughts and ratings abt my cuts,Random
Weight loss or weight gain hogaya,health and Wellness
Tell me the easiest way to cool the body in this hot summer,Random
Home remedies skincare or paise phukna psnd krte,Random
How to remove suicidal thoughts,Health and Wellness
being depressed for a long time you decide to cut all people off from,health and Wellness
Ever got allergy,Health and Wellness
Chetan Clinic ko kon kon janta hai,Random
How do you loose love handles,Health and Wellness
How much m,Random
Are u feeling,Random
Do you think everyone should go to therapy,health and Wellness
Cheapest way to hit protein goals,Health and Wellness
Have you ever tasted breast milk after getting older,Random
Hey wanted to know if anyone is feeling low can talk and feel better,Health and Wellness
Pop Quiz Part four What happens if you put pure water into an IV,Health and Wellness
Ladkon se mere question hai Aap logon ko kon se super bike favourite hai,technology and Internet
Rohit sharma play the reverse sweep against which team,Sports
England seven hundred and sixty after eleven overs Itna ko marta hai be test match mai,Sports
Hit man,Movies and TV
Tumhe Cricket ki kasam Hardik ya shivam dube Itihas gawa he sach,Sports
KKRvsSRH Kaun jeetega Kya SRH two hundred and nine run Chase kar legi,Sports
Kya SRH vs KKR match fixed,Sports
Jis trah se starting hui hai kya lgta hai kon jeetega aaj,Sports
Will virat kohli score century in second innings indvssa,Sports
Audi Rssix,Technology and Internet
Whose gonna win the world cup final,Sports
Ronaldo is better than Messi,Sports
Are You watching IND VS ENG Test Match,Sports
Lets settle this who is the GOAT,Sports
Virat kohli k friend,Sports
What sport do you prefer to watch,Sports
Which team you like in IPL,Sports
Any competitive aspirations here,Random
Better,Random
Whos the riyal GOAT one Maushi two Krishna Ronaldo,Sports
Unpopular opinion Im not interest in cricket much,Sports
Delete any two Mine Football weed,Sports
aj ka match dekhkr kya lg rha hai kon jitega,Sports
Are most Gujaratis too busy for cricket because of NIFTY expiry,Sports
I want a football friend to talk with anyone,Sports
whats your go to sport,Sports
Mahi can never miss the stumps,Random
INDIA VS AUSTRALIA who won the final Whats ur prediction,Sports
World Cup ki haar se move on hogaya kya,Sports
Sher Aaj cricket tournament khelne ja rha h,Sports
Aaj kaun taudega aus ko,Sports
WHO is GOAT,sports
Mr three hundred and sixty,Sports
Should the WC final match between India and Australia played again,Sports
Whats an Olympic sport that doesnt exist but should,Sports
MCGREGOR OR KHABIB,Sports
BETTER IPL FINAL,Sports
Who will win IPL twoktwenty-four,Sports
Are you exited for ipl auction,Sports
Kon jeetega,Sports
Agya gym bkl,Health and Wellness
Under four hundredcc which motorcycle will you choice,Technology and Internet
Who is your favourite cricket player,Sports
Who was the quarterbacker name,Sports
Is six ft one enough for a fast bowler at international level,Sports
Can you swim,Sports
Best case Superbowl matchups pick one,Sports
Who is the GOAT,Sports
You drive,Random
India vs England ka pehle Test Match koun jeetega,Sports
Which fev cricketer,Sports
Who will win today,Sports
Who do you think is gonna win todays match,Sports
Abki trophy kon le jayega,Sports
GUYS WHO IS YOUR FAVOURITE INDIAN CRICKETER,Sports
Favorite ipl team,Sports
Watched Todays MatchCSK vs GT How was it,Sports
Do you always stand up for the national anthem,Music
Which sport is best,Sports
World test championship final will be between,Sports
India jeet gyiii,Sports
Fone pollYour rating on Japanese grand prix,Sports
Favourite Supercar,Random
How many wickets in cricket you taken your life,Sports
Who will win the World Cup,Sports
Yo Kon kon cricket dekhta hai Roz Mai nhi dekhta,Sports
Who will win today IPL,Sports
Ntorq vs ns drag race Who win,Sports
Will he stop scoring,Sports
Which team will win this IPL,Sports
The sportsperson of the century,Sports
MI Vs CSK,Sports
Who is better in terms of complete football,Sports
Best Cricket meme in two thousand and twenty-three which made you ROFL,Sports
Will you suit up tomorrow to support the BC basketball team,Sports
When vacation hits all time cricket sports that feeling was best,Sports
Will India be able to win it from here,Sports
GOAT of Indian cricket team according to you,Sports
Which team you support in this IPL,Sports
Fans roast Englands captain Ben Stokes,Sports
Lets end the debate between Cristiano Ronaldo and Lionel Messi for GOAT,Sports
Your favourite cricketer,Sports
Whos Most valuable player for ICT,Sports
GOAT sportsperson of all time,Sports
India World Cup Harr Gyi Better Luck Next Time Your Fav Player,Sports
Which is your fav Crossover this year Comment your dream Collab,Sports
Gujarat Titans will again win IPL two thousand and twenty-three What do you think,Sports
WHAT IS THE BEST SPORT ANIME,Anime
Rohit Sharma are playing next ICC World Cup,Sports
Boxing girls should be,Sports
Your favourite IPL team,Sports
IPL which team do u support,Sports
Guys what you like riding or driving,Sports
Iss baar ipl kon jeetega,Sports
Who is goat,Sports
Guys who are Ms Dhoni fans can follow me,Random
Iss baar ka two thousand and twenty-three ka world cup kon jeetega,Sports
GOAT,Sports
Which IPL team is u r favourite team,Sports
Bachpan mein zyada kya khela hai Part one,Sports
If the world ends,Random
Your Favourite anime,Anime
nan,Random
Fav anime,Anime
Which One is Your Favourite Isekai Anime and Why LMKIC,Anime
Jaw Titan banna chahiye tha,Anime
Which anime is best,Anime
Whats the best anime here in your opinion,Anime
I wanna watch more anime so like I need sum recommendationsD,Anime
Who is strongest,Anime
Remove on anime from existence,Anime
guys anime dekh ne hai or samaja nahi aa rha kya dekhu,Anime
what is the best anime,Anime
ZORO or SANJI,Anime
Best new Animes,Anime
Which ones better,Anime
Give me some isekai anime recommendation,Anime
Whose sword is this,Anime
Do you guys watch anime,Anime
WHICH ONE DO YOU PREFER,Anime
Choose one,Random
Anime poll what if madara won the great ninja war,Anime
Lets find out what our people love,Anime
Choose one,Random
Hi,Random
Who got more rejection,Random
Do you Simp over anime girls,Anime
Tuntun mausi Anime gurlz,Anime
Fav anime,Anime
I you know this cartoon,Anime
nan,Random
Ever find a great anime on insta reels that you r now watching,Anime
Your favourite one piece character,Anime
apka fvrt cartoon knsa hai,Anime
Best anime animations,Anime
What If mahito already understood what kenjaku was trying will he help,Anime
Do you support eren Yeager,Anime
ANIME,Anime
Lets settle this,Random
Impression on anime,Anime
Creating anime group Follow me and I will goss with link,Anime
What do you think who is more stronger Satoru Gojou or Sukuna,Anime
Hey Angel A happiest birthday to u Mitsuri,Anime
Ending of Which Character made you sad,Anime
Hi,technology and Internet
Would you prefer to kiss your anime or die yourself,Anime
Nty doraemon,Anime
Girls who watch anime Kha ho tumm,Anime
Comment down One anime that you are die hard fan of,Anime
Animee dekhna chahiye ki nhi,Anime
Ye shinchab itna acha cartoon kyu hai,Anime
This is for Anime fans,Anime
Which anime is best according to you,Anime
question for girls Who is your fav male anime character,Anime
who is your fav anime waifu,Anime
DO GIRLS WATCH ANIME AND WHERE ARE THEY,Anime
Okie Thali,Food and Drinks
Favourite cartoon,Movies and TV
What the fuck,Movies and TV
Whats Your Favourite Anime,Anime
Which is your favorite side character,Anime
Any anime character you wanna revive,Anime
Wushang clan wale hai kya idhar,Music
WHO IS GOD IN THE SERIES OF ONE PUNCH MAN,Movies and TV
irfan,Random
Who is best,Random
nan,Technology and Internet
Kisi ko mera insta gc join karna h Doremon ki toli,Random
Ywuwu,Random
Which one is your favorite arc in one piece anime Part three,Anime
Kya yaha sab log anime dekhne Wale hain,anime
Im new at hunch idk whats going on here,Technology and Internet
what do you like more,Random
Who oiled up jjk character would you taking,anime
Who is the most attractive anime characters,Anime
It not what you think it is,Random
Koi suggestions hain aap logo k passSAOserious answer only,Random
Who is ur fav in death note anime,Movies and TV
What do you like to do in your free time,Random
Solo leveling dekh liya,Movies and TV
Konsa anime genre kabhi nahi dekhungadekhungi,Anime
Anime fans,Anime
Who can defeat GokuDragon Ball,anime
Which anime you most like,anime
Any weeb out here,anime
What you watch again and again,Movies and TV
They made a man based on anime character,anime
Log anime or sex position ke alawa or polls kyu nhi bnate,Random
I bet u cant comment a slice of life anime which I havent watched yet,anime
Kuuu,Music
Pick any Character from A to I ABCDEFGHI,Anime
